Variable,Description,,
watershed,"Padden, Squalicum, Whatcom ",,
month,,,
day,,,
year,Replicate,,
site,Site within watershed,,
rep,Replicate,,
page,IWS logbook page,,
,,,
AMPH.coro,AMPHIPODA,Corophiidae ,Corophium
AMPH.cran,AMPHIPODA,Crangonyctidae ,Crangonyx
AMPH.unk,AMPHIPODA,unk ,unk
ANNE.hiru,ANNELIDA, Hirudinea  ,unk
ANNE.olig,ANNELIDA, Oligochaeta,unk
ANNE.poly,ANNELIDA,Polychaeta ,unk
ARAC.unk,ARACHNIDA,unk,unk
BRYO.unk,BRYOZOAN,unk,unk
CNID.unk,CNIDARIA,unk,unk
COLE.adult,COLEOPTERA,unk,unk
COLE.elmi1,COLEOPTERA,Elmidae   ,Cleptelmis.addenda 
COLE.elmi2,COLEOPTERA, Elmidae ,Cylloepus
COLE.elmi3,COLEOPTERA,Elmidae, Heterlimnius 
COLE.elmi4,COLEOPTERA,Elmidae,Lara.avara
COLE.elmi5,COLEOPTERA,Elimidae,Narpus
COLE.elmi6,COLEOPTERA,Elmidae,unk
COLE.geor,COLEOPTERA,Georyssidae,Georyssus
COLE.hete,COLEOPTERA,Heteroceridae,unk
COLE.hydr,COLEOPTERA,Hydrophiloidea,unk
COLE.micr,COLEOPTERA,Microsporidae,unk
COLL.unk,COLLEMBOLA,unk,unk
COPE.unk,COPEPODA,unk,unk
CRUS.unk,CRUSTACEAN,Cladocera,unk
DECA.asta,DECAPODA,Astacidae,Pacifastacus
DIPT.brac1,DIPTERA,Brachycera,Cyclorrhaphous.Brachycera
DIPT.brac2,DIPTERA,Brachycera,unk
DIPT.cera1,DIPTERA,Ceratopogonidae,Bezzia
DIPT.cera2,DIPTERA,Ceratopogonidae,Culicoides
DIPT.cera3,DIPTERA,Ceratopogonidae,Forcipomyia
DIPT.cera4,DIPTERA,Ceratopogonidae,Leptoconops
DIPT.cera5,DIPTERA,Ceratopogonidae,Monohelea
DIPT.cera6,DIPTERA,Ceratopogonidae,Serromyia
DIPT.chao,DIPTERA,Chaooridae,Chaoborus
DIPT.chir,DIPTERA,Chironomidae,unk
DIPT.culi1,DIPTERA,Culicidae,unk
DIPT.culi2,DIPTERA,Culicidae,Uranotaenia
DIPT.dixi1,DIPTERA,Dixidae,Dixa
DIPT.dixi2,DIPTERA,Dixidae,Dixella
DIPT.empi1,DIPTERA,Empididae,Clinocera
DIPT.empi2,DIPTERA,Empididae,Hemerodromiinae
DIPT.empi3,DIPTERA,Empididae,Trichoclinocera
DIPT.empi4,DIPTERA,Empididae,unk
DIPT.ephy,DIPTERA,Ephydridae,unk
DIPT.musc,DIPTERA,Muscidae,unk
DIPT.pele1,DIPTERA,Pelecorhynchidae,Glutops
DIPT.pele2,DIPTERA,Pelecorhynchidae,unk
DIPT.psyc1,DIPTERA,Psychodidae,Maruina
DIPT.psyc2,DIPTERA,Psychodidae,Pericoma
DIPT.ptyc,DIPTERA,Ptychopteridae,Ptychoptera
DIPT.simu,DIPTERA,Simuliidae,unk
DIPT.stra,DIPTERA,Stratiomyidae,Caloparyphus
DIPT.taba,DIPTERA,Tabanidae,Chrysops
DIPT.thau,DIPTERA,Thaumaleidae,unk
DIPT.tipu1,DIPTERA,Tipulidae,Antocha
DIPT.tipu2,DIPTERA,Tipulidae,Dicranota
DIPT.tipu3,DIPTERA,Tipulidae,Helius
DIPT.tipu4,DIPTERA,Tipulidae,Limnophila
DIPT.tipu5,DIPTERA,Tipulidae,Limonia
DIPT.tipu6,DIPTERA,Tipulidae,Ormosia
DIPT.tipu7,DIPTERA,Tipulidae,Pedicia
DIPT.tipu8,DIPTERA,Tipulidae,Pilaria
DIPT.tipu9,DIPTERA,Tipulidae,Tipula
DIPT.tipu10,DIPTERA,Tipulidae,unk
DIPT.unk,DIPTERA,unk,unk
EPHE.baet1,EPHEMEROPTERA,Baetidae,Baetis.tricaudatus
EPHE.baet2,EPHEMEROPTERA,Baetidae,Centroptilum
EPHE.baet3,EPHEMEROPTERA,Baetidae,Centroptilum.album
EPHE.baet4,EPHEMEROPTERA,Baetidae,Centroptilum.conturbatum
EPHE.baet5,EPHEMEROPTERA,Baetidae,Diphetor.hageni
EPHE.caen,EPHEMEROPTERA,Caenidae,Caenis.youngi
EPHE.ephe1,EPHEMEROPTERA,Ephemerellidae,Dannella
EPHE.ephe2,EPHEMEROPTERA,Ephemerellidae,Ephemerella
EPHE.ephe3,EPHEMEROPTERA,Ephemerellidae,Ephemerella.margarita
EPHE.hept1,EPHEMEROPTERA,Heptageniidae,Cinygma
EPHE.hept2,EPHEMEROPTERA,Heptageniidae,Cinygmula
EPHE.hept3,EPHEMEROPTERA,Heptageniidae,Epeorus
EPHE.hept4,EPHEMEROPTERA,Heptageniidae,Epeorus.Iron
EPHE.hept5,EPHEMEROPTERA,Heptageniidae,Heptagenia
EPHE.hept6,EPHEMEROPTERA,Heptageniidae,Heptagenia.spA
EPHE.hept7,EPHEMEROPTERA,Heptageniidae,Ironodes
EPHE.hept8,EPHEMEROPTERA,Heptageniidae,Rithrogena
EPHE.hept9,EPHEMEROPTERA,Heptageniidae,unk
EPHE.lept1,EPHEMEROPTERA,Leptophlebiidae,Paraleptophlebia
EPHE.lept2,EPHEMEROPTERA,Leptophlebiidae,Paraleptophlebia.spA
EPHE.lept3,EPHEMEROPTERA,Leptophlebiidae,Paraleptophlebia.spB
EPHE.lept4,EPHEMEROPTERA,Leptophlebiidae,Paraleptophlebia.spC
EPHE.lept5,EPHEMEROPTERA,Leptophlebiidae,unk
EPHE.siph,EPHEMEROPTERA,Siphlonuridae,unk
EPHE.unk,EPHEMEROPTERA,unk,unk
GAST.limp,GASTROPODA,limpet,unk
GAST.plan,GASTROPODA,Planorbidae,unk
GAST.unk,GASTROPODA,unk,unk
HEMI.gerr,HEMIPTERA,Gerridae,Trepobates
HEMI.homo,HEMIPTERA,Homoptera,unk
HEMI.macr,HEMIPTERA,Macroveliidae,Oravelia
ISOP.asel,ISOPODA,Asellidae,Caecidotea
ISOP.unk,ISOPODA,unk,unk
LEPI.pyra,LEPIDOPTERA,Pyralidae,unk
MEGA.sial,MEGALOPTERA,Sialidae,Sialis
MEGA.unk,MEGALOPTERA,unk,unk
NEMD.unk,NEMATODA,unk,unk
NEMM.unk,NEMATOMORPHA,unk,unk
ODON.aesh,ODONATA,Aeshnidae,unk
OSTR.unk,OSTRACODA,unk,unk
PELE.unk,PELECYPODA,unk,unk
PLEC.chlo,PLECOPTERA,Chloroperlidae,Sweltsa
PLEC.leuc,PLECOPTERA,Leucridae,Despaxia
PLEC.nemo1,PLECOPTERA,Nemouridae,Malenka
PLEC.nemo2,PLECOPTERA,Nemouridae,Zapada.cinctipes
PLEC.nemo3,PLECOPTERA,Nemouridae,Zapada.oregonensis
PLEC.perl,PLECOPTERA,Perlidae,Hesperoperla.pacifica
PLEC.pero1,PLECOPTERA,Perlodidae,Cultus
PLEC.pero2,PLECOPTERA,Perlodidae,Skwala
PLEC.pter,PLECOPTERA,Pteronarcyidae,Pteronarcys
PLEC.unk,PLECOPTERA,unk,unk
PUPA.unk,PUPAE,unk,unk
TARD.unk,TARDIGRADA,unk,unk
TERR.unk,TERRESTRIAL,unk,unk
TRIC.apat,TRICHOPTERA,Apataniidae,Apatania
TRIC.brac1,TRICHOPTERA,Brachycentridae,Brachycentrus
TRIC.brac2,TRICHOPTERA,Brachycentridae,Brachycentrus.spinae
