Sample_name,Locus,Hash,nReads
MiFish.0321.1Prt.Up.1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,10823
MiFish.0321.1Prt.Up.1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1629
MiFish.0321.1Prt.Up.1,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,1126
MiFish.0321.1Prt.Up.1,MiFish,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,103
MiFish.0321.1Prt.Up.1,MiFish,29c5193eb0e4e364b7127ff7590e8eb751d24740,402
MiFish.0321.1Prt.Up.1,MiFish,629aa86f569921707980e85a596cb12105791f75,1295
MiFish.0321.1Prt.Up.1,MiFish,8ec931f8723a382855753cbfb8c92bd75cf323a8,306
MiFish.0321.1Prt.Up.1,MiFish,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,622
MiFish.0321.1Prt.Up.1,MiFish,a786ab2b4d6cd6be5394f1351bea438a7d35726e,223
MiFish.0321.1Prt.Up.1,MiFish,8ed6e061a113f0a3323ef17b1c1e2f2fb575a043,248
MiFish.0321.1Prt.Up.1,MiFish,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,1262
MiFish.0321.1Prt.Up.1,MiFish,c85bde7ee5fbef22260dd6fd67f84887524f0801,84
MiFish.0321.1Prt.Up.1,MiFish,f536d06c01845ccab42b872aac3cb3788e538310,414
MiFish.0321.1Prt.Up.1,MiFish,f97301b29e339910bf632cf3fab2755f493eac31,17
MiFish.0321.1Prt.Up.1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,45
MiFish.0321.1Prt.Up.1,MiFish,4748ac7f3909734e514c31c438cb533bdf7b9f91,71
MiFish.0321.1Prt.Up.1,MiFish,0f393c323c7d2dcd0cb68a529747e8c4abfd9509,423
MiFish.0321.1Prt.Up.1,MiFish,f9578966b4fcfa7af48bdc6cd4332be661419fcc,9
MiFish.0321.1Prt.Up.1,MiFish,9c94ba083a52d4995e5bcfae6ea41aa5c0431be8,1038
MiFish.0321.1Prt.Up.1,MiFish,572d0ebd3c85cad6ac4c8c13468d267182e42a2c,714
MiFish.0321.1Prt.Up.1,MiFish,9c944dd49cc66af585d01075d653dc14fb1403c1,536
MiFish.0321.1Prt.Up.1,MiFish,ad6053ef8b9c7ececb1449fbd7937cc28583b1eb,437
MiFish.0321.1Prt.Up.1,MiFish,267aa7fd1982ad1231f15695eab5d5d802650fd1,272
MiFish.0321.1Prt.Up.1,MiFish,1c55c48eea48f9b3d4988feef548151f23615fc8,254
MiFish.0321.1Prt.Up.1,MiFish,c447f6055f4d4185b3b56474d2464bd854ed6811,114
MiFish.0321.1Prt.Up.1,MiFish,de153c34b212edc93e83a42901b4b97d6e887c7f,322
MiFish.0321.1Prt.Up.1,MiFish,b1f3a67396c40a744dcd968c70dfbebb8751bb8f,288
MiFish.0321.1Prt.Up.1,MiFish,e6ea754005001269f3c50e7326892547a4af556f,166
MiFish.0321.1Prt.Up.1,MiFish,6f59d575eb8996f930b1622a5dc11b3f8734ccf5,249
MiFish.0321.1Prt.Up.1,MiFish,93a08621cefddb36afa51968b00f31c0067a0816,430
MiFish.0321.1Prt.Up.1,MiFish,7bd7eeaa55a01f4d05c25582472ca5e58b1f6b14,56
MiFish.0321.1Prt.Up.1,MiFish,44915bee2458e63f38683d814af6f392972eec73,316
MiFish.0321.1Prt.Up.1,MiFish,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,66
MiFish.0321.1Prt.Up.1,MiFish,f53c0268906f5a28f163439cc5235a9f5eca5af3,352
MiFish.0321.1Prt.Up.1,MiFish,722b2bb28aa222d19d2d58e5295c440a5b0d8e83,560
MiFish.0321.1Prt.Up.1,MiFish,1817c9310d0145992696f8490f9c0dea4501cf52,212
MiFish.0321.1Prt.Up.1,MiFish,867c32f061788b67168fec1609c565304e07a586,61
MiFish.0321.1Prt.Up.1,MiFish,e31692ff1b969276eaaeda69d89bd0730718590a,104
MiFish.0321.1Prt.Up.1,MiFish,e63a97cc5b55455aed87138fd829f3a8621891d6,296
MiFish.0321.1Prt.Up.1,MiFish,b788eca460686de3f92b46d93b89eb571cd06bed,64
MiFish.0321.1Prt.Up.1,MiFish,7d8d284f8419abb75e2ddb771080f1475447d26c,19
MiFish.0321.1Prt.Up.1,MiFish,65f6e204e30982d55209e5e4291814ec311b470a,512
MiFish.0321.1Prt.Up.1,MiFish,c1e455790d4801de63b4ac022c2f5e46ad28f2fe,4
MiFish.0321.1Prt.Up.1,MiFish,fb434d844c0eecd94ddb6cde96b0f0194c52c80a,955
MiFish.0321.1Prt.Up.1,MiFish,19e479ce616b499e2f4b8fa9c2ca783d09e9bc30,884
MiFish.0321.1Prt.Up.1,MiFish,be528d433204153a9b5e1af0f1dd069d8804408c,50
MiFish.0321.1Prt.Up.1,MiFish,319199a59bd238b27cc8cd21c11d24f242baf997,17
MiFish.0321.1Prt.Up.1,MiFish,6880b656203dc9428f87390010cb0f9096e6a4d1,17
MiFish.0321.1Prt.Up.1,MiFish,ab52c0e925ac23796dd84a254c2ce6cd20a0fbf1,84
MiFish.0321.1Prt.Up.1,MiFish,4ef9f1a7c5fd4509598a75acb0e6748ed35c44c4,279
MiFish.0321.1Prt.Up.1,MiFish,750cd54b8f7a67ed753e79053455df035c5955e1,67
MiFish.0321.1Prt.Up.1,MiFish,1f1502cf53f9a5dc611bf0182c29cc214c06aca5,81
MiFish.0321.1Prt.Up.1,MiFish,e435800311b37d3de7b80886b09bb183cda4f126,163
MiFish.0321.1Prt.Up.1,MiFish,63ff73a1d7a66ab647ec5c3c6e7259434f902f87,79
MiFish.0321.1Prt.Up.1,MiFish,48b739b82673aac5fd0b81a2214b668218132f99,21
MiFish.0321.1Prt.Up.1,MiFish,0dc0d86aa9ec83a01b3139a9e1faf80d4849dc22,147
MiFish.0321.1Prt.Up.1,MiFish,923dbda7bb40265f10fd433a5e11557da9bff0a1,13
MiFish.0321.1Prt.Up.1,MiFish,c69d4b6e00748ca8f70e3d68ee8ae36f3e6250bf,126
MiFish.0321.1Prt.Up.1,MiFish,20adf47b5449cdcab840ff428ab164780c63e81d,216
MiFish.0321.1Prt.Up.1,MiFish,f07a41cd8cd299a928be8310d7366816f181212a,32
MiFish.0321.1Prt.Up.1,MiFish,d5702888de20d9944cfa565cfcb59e12c7e484c3,35
MiFish.0321.1Prt.Up.1,MiFish,f50e881d7696609641469e2957bbb974b6fdf608,142
MiFish.0321.1Prt.Up.1,MiFish,6b9a840eaa6fa47062a8b9040053664f5d66c2aa,359
MiFish.0321.1Prt.Up.1,MiFish,ca746b69822e7ab7263d5f4f639af08538e1438e,274
MiFish.0321.1Prt.Up.1,MiFish,38d5b9d9b790cafde268cfe8e94083fe4cf8c3d3,18
MiFish.0321.1Prt.Up.1,MiFish,a682f23c87912208d1970645e2e32c389b6138ab,7
MiFish.0321.1Prt.Up.1,MiFish,a1520b4f34dbd150c8c16f9d947c753d665cf5f1,213
MiFish.0321.1Prt.Up.1,MiFish,495a0645003a26cc126fdf95eac40813d7fb9a5d,226
MiFish.0321.1Prt.Up.1,MiFish,73c23642e32f84f204eddd0876484d916b7a1861,3
MiFish.0321.1Prt.Up.1,MiFish,d9b873733030cf712ad5cf86c255ab0f7495e3f1,140
MiFish.0321.1Prt.Up.1,MiFish,dbbf0d891a73a75d9a55f90b8d28fe05d1d00c06,481
MiFish.0321.1Prt.Up.1,MiFish,99d78009db7c54e39e7e7ab4a8581843993325e6,88
MiFish.0321.1Prt.Up.1,MiFish,02b0e16a44762f262ddf59986eb75aedee447ab9,479
MiFish.0321.1Prt.Up.1,MiFish,ac1a7bb89933a04fc38c54426c16bae594667a93,61
MiFish.0321.1Prt.Up.1,MiFish,aaf98fd08e64568993d5de0a4f083cb6a7e90ea7,72
MiFish.0321.1Prt.Up.1,MiFish,9b49c94f4fc5a9a7e7d22c638f00e475bf9635fb,40
MiFish.0321.1Prt.Up.1,MiFish,46cc5af99b1146646945aea2db43863b7264732e,77
MiFish.0321.1Prt.Up.1,MiFish,b5115f88e47602690570c7bd7bd16467fcd5c67c,301
MiFish.0321.1Prt.Up.1,MiFish,08bdea3e81ac4bbb3e0c56ed41de4c7bfd7bdb94,364
MiFish.0321.1Prt.Up.1,MiFish,907b3b5d575794425186251b1c359b8106edc6d0,113
MiFish.0321.1Prt.Up.1,MiFish,5c9fafa9b654ae3d19c23750fdbec16fa66fb07a,452
MiFish.0321.1Prt.Up.1,MiFish,ec8124a302cdc4bddaf975b353c562710778a28e,65
MiFish.0321.1Prt.Up.1,MiFish,e4029dcdd8cb228ef66634a4e1a84a133a3e174e,127
MiFish.0321.1Prt.Up.1,MiFish,7aa01efa6670d62b55a20b471149847bec189c43,250
MiFish.0321.1Prt.Up.1,MiFish,356389d788ed0d60e7d2207d301d79e050f6c040,238
MiFish.0321.1Prt.Up.1,MiFish,c2e4659fca63d546925754e3dbf5d4009fc3879e,115
MiFish.0321.1Prt.Up.1,MiFish,2cc1ff5dc58ab5670dd0d8f1c8abbb13430e248c,414
MiFish.0321.1Prt.Up.1,MiFish,b5dae55615574fbaf5f5a4d7c94b5efd2ed2090f,267
MiFish.0321.1Prt.Up.1,MiFish,5dc629e55485a72eb5bf46bb6348dc9d617355f1,128
MiFish.0321.1Prt.Up.1,MiFish,a92ae0c73cd6d0799d2e63d4d7766c57009f136e,55
MiFish.0321.1Prt.Up.1,MiFish,a1674c02e57c1c32b8ae33dee2ff1eed534561ac,299
MiFish.0321.1Prt.Up.1,MiFish,8519a7f742cabfdb887dc2013feba40c4584b8db,7
MiFish.0321.1Prt.Up.1,MiFish,bb267040d4dfa2d3b2e259a638e27d243094eb46,345
MiFish.0321.1Prt.Up.1,MiFish,891fa6a46d07e92e87766d57d6e4da5ddfacee63,356
MiFish.0321.1Prt.Up.1,MiFish,1b7279842f026710b63a0cfffa54c5a79c03b60f,351
MiFish.0321.1Prt.Up.1,MiFish,b5d81b6178bde595ed6d9b74abdd59f26c4a7ef8,57
MiFish.0321.1Prt.Up.1,MiFish,4fc9013d48b99bf19b2e41892ce95f22a0e4db51,147
MiFish.0321.1Prt.Up.1,MiFish,932f8da63322186731c6362c6d7206c371f8487b,334
MiFish.0321.1Prt.Up.1,MiFish,85177e959b0b96ddd505658260a01247f605e0d1,324
MiFish.0321.1Prt.Up.1,MiFish,3652c19b78f98cc1f580133b8ceb857c71f6d340,314
MiFish.0321.1Prt.Up.1,MiFish,bd014629f5eef050664e53868a136c740d884733,3
MiFish.0321.1Prt.Up.1,MiFish,765bf9726211a4d30499ed6cfd174941b302a65c,126
MiFish.0321.1Prt.Up.1,MiFish,97c904b0d24ffdcf8df4e322adcd738f5319375b,249
MiFish.0321.1Prt.Up.1,MiFish,3b5354bb67d9bca8a1a2783c1f8dbf946baa1506,21
MiFish.0321.1Prt.Up.1,MiFish,5dc5c96643f7f05192be7634b39b461c85d092c5,9
MiFish.0321.1Prt.Up.1,MiFish,d0373fcd4a71e4cfd156942f80c093026e8f9f1f,37
MiFish.0321.1Prt.Up.1,MiFish,7cf707cdb690b99c32ed4ee86c916db345421140,299
MiFish.0321.1Prt.Up.1,MiFish,dc17708b283fdc1ea162d5e2159e3f3634eb90c0,11
MiFish.0321.1Prt.Up.1,MiFish,ac457abac828c09847277c4a367123cfa0034881,169
MiFish.0321.1Prt.Up.1,MiFish,8464645b83504215c4c2392b1a9497283868252b,105
MiFish.0321.1Prt.Up.1,MiFish,163e6486e6af0fdd07e9e23613560494a2cb69aa,284
MiFish.0321.1Prt.Up.1,MiFish,8f3cc0fa73321a61c9916fe899227ac9a657c354,277
MiFish.0321.1Prt.Up.1,MiFish,2919f1c29640a7a75e08a2d13bfec72954706ff9,278
MiFish.0321.1Prt.Up.1,MiFish,e048fdea0834f0d6a9ec1bcfc722a4392723cccf,278
MiFish.0321.1Prt.Up.1,MiFish,f40ee7d0efa5ea341312c4f61b6bb8d5c270c6b4,277
