"Sample_ID","class","order","family","genus","species","tot"
"COI.0321.1Prt.Dn.1","","","","","",32864
"COI.0321.1Prt.Dn.1","","Himatismenida","Cochliopodiidae","Cochliopodium","",535
"COI.0321.1Prt.Dn.1","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch",36
"COI.0321.1Prt.Dn.1","Aves","Anseriformes","Anatidae","Anas","",6
"COI.0321.1Prt.Dn.1","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",19
"COI.0321.1Prt.Dn.1","Bdelloidea","","","Rotaria","",588
"COI.0321.1Prt.Dn.1","Bdelloidea","Adinetida","Adinetidae","Adineta","",2
"COI.0321.1Prt.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",42
"COI.0321.1Prt.Dn.1","Clitellata","Haplotaxida","Naididae","Chaetogaster","",16
"COI.0321.1Prt.Dn.1","Clitellata","Lumbriculida","Lumbriculidae","Lumbriculus","Lumbriculus variegatus",6
"COI.0321.1Prt.Dn.1","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",19
"COI.0321.1Prt.Dn.1","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium willei",72
"COI.0321.1Prt.Dn.1","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",467
"COI.0321.1Prt.Dn.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",20
"COI.0321.1Prt.Dn.1","Insecta","Plecoptera","Perlidae","Hesperoperla","Hesperoperla pacifica",4
"COI.0321.1Prt.Dn.1","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",33
"COI.0321.1Prt.Dn.1","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",155
"COI.0321.1Prt.Dn.1","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",151
"COI.0321.1Prt.Dn.1","Mammalia","Primates","Hominidae","Homo","",8
"COI.0321.1Prt.Dn.1","Mammalia","Rodentia","Muridae","Rattus","",15
"COI.0321.1Prt.Dn.1","Monogononta","Ploima","Brachionidae","Keratella","",88
"COI.0321.1Prt.Dn.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",9
"COI.0321.1Prt.Dn.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cambivora",56
"COI.0321.1Prt.Dn.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",75
"COI.0321.1Prt.Dn.2","","","","","",28809
"COI.0321.1Prt.Dn.2","","Himatismenida","Cochliopodiidae","Cochliopodium","",457
"COI.0321.1Prt.Dn.2","Aves","Anseriformes","Anatidae","Anas","",12
"COI.0321.1Prt.Dn.2","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",8
"COI.0321.1Prt.Dn.2","Aves","Passeriformes","Passerellidae","Pipilo","",45
"COI.0321.1Prt.Dn.2","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",27
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Enchytraeidae","Chamaedrilus","",37
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Enchytraeidae","Enchytraeus","",45
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Lumbricidae","Dendrobaena","Dendrobaena octaedra",3
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Lumbricidae","Dendrodrilus","Dendrodrilus rubidus",23
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",27
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Naididae","Limnodrilus","Limnodrilus claparedianus",2
"COI.0321.1Prt.Dn.2","Clitellata","Haplotaxida","Naididae","Tubifex","Tubifex tubifex",12
"COI.0321.1Prt.Dn.2","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",32
"COI.0321.1Prt.Dn.2","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium willei",182
"COI.0321.1Prt.Dn.2","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",373
"COI.0321.1Prt.Dn.2","Gastropoda","Stylommatophora","Arionidae","Arion","Arion ater",15
"COI.0321.1Prt.Dn.2","Gastropoda","Stylommatophora","Arionidae","Arion","Arion rufus",10
"COI.0321.1Prt.Dn.2","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",107
"COI.0321.1Prt.Dn.2","Insecta","Diptera","Chironomidae","Micropsectra","",40444
"COI.0321.1Prt.Dn.2","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila suzukii",6
"COI.0321.1Prt.Dn.2","Insecta","Diptera","Tipulidae","Tipula","",38
"COI.0321.1Prt.Dn.2","Insecta","Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps",39
"COI.0321.1Prt.Dn.2","Insecta","Trichoptera","Hydropsychidae","Parapsyche","Parapsyche almota",76
"COI.0321.1Prt.Dn.2","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",166
"COI.0321.1Prt.Dn.2","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",48
"COI.0321.1Prt.Dn.2","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",78
"COI.0321.1Prt.Dn.2","Mammalia","Carnivora","Canidae","Canis","",16
"COI.0321.1Prt.Dn.2","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",84
"COI.0321.1Prt.Dn.2","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis",77
"COI.0321.1Prt.Dn.2","Monogononta","Ploima","Brachionidae","Kellicottia","",303
"COI.0321.1Prt.Dn.2","Monogononta","Ploima","Brachionidae","Keratella","",220
"COI.0321.1Prt.Dn.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",38
"COI.0321.1Prt.Dn.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gallica",29
"COI.0321.1Prt.Dn.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",31
"COI.0321.1Prt.Dn.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",22
"COI.0321.1Prt.Dn.3","","","","","",28725
"COI.0321.1Prt.Dn.3","","Himatismenida","Cochliopodiidae","Cochliopodium","",359
"COI.0321.1Prt.Dn.3","","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium kieliense",4
"COI.0321.1Prt.Dn.3","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch",9
"COI.0321.1Prt.Dn.3","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",65
"COI.0321.1Prt.Dn.3","Bdelloidea","","","Rotaria","",92
"COI.0321.1Prt.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",65
"COI.0321.1Prt.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","Eiseniella tetraedra",8
"COI.0321.1Prt.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus rubellus",28
"COI.0321.1Prt.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus terrestris",17
"COI.0321.1Prt.Dn.3","Clitellata","Lumbriculida","Lumbriculidae","Lumbriculus","Lumbriculus variegatus",20
"COI.0321.1Prt.Dn.3","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",8
"COI.0321.1Prt.Dn.3","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","",15
"COI.0321.1Prt.Dn.3","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",365
"COI.0321.1Prt.Dn.3","Gastropoda","Stylommatophora","Arionidae","Arion","Arion silvaticus",21
"COI.0321.1Prt.Dn.3","Insecta","Diptera","Chironomidae","Micropsectra","",157
"COI.0321.1Prt.Dn.3","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",13
"COI.0321.1Prt.Dn.3","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",72
"COI.0321.1Prt.Dn.3","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Rhyacophila narvae",30
"COI.0321.1Prt.Dn.3","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",79
"COI.0321.1Prt.Dn.3","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis",31
"COI.0321.1Prt.Dn.3","Monogononta","Ploima","Brachionidae","Keratella","",90
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",36
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cambivora",117
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gallica",14
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",51
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",11
"COI.0321.1Prt.Dn.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora syringae",4
"COI.0321.1Prt.Up.1","","","","","",37669
"COI.0321.1Prt.Up.1","","Himatismenida","Cochliopodiidae","Cochliopodium","",210
"COI.0321.1Prt.Up.1","","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium kieliense",4
"COI.0321.1Prt.Up.1","","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium minus",6
"COI.0321.1Prt.Up.1","Arachnida","Araneae","Araneidae","Zygiella","Zygiella atrica",7
"COI.0321.1Prt.Up.1","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",23
"COI.0321.1Prt.Up.1","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",338
"COI.0321.1Prt.Up.1","Bdelloidea","","","Rotaria","",464
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","",29
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",35
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","Eiseniella tetraedra",12
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus rubellus",8
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Naididae","Chaetogaster","",44
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Naididae","Dero","Dero digitata",5
"COI.0321.1Prt.Up.1","Clitellata","Haplotaxida","Naididae","Tubifex","Tubifex tubifex",36
"COI.0321.1Prt.Up.1","Clitellata","Lumbriculida","Lumbriculidae","Lumbriculus","Lumbriculus variegatus",6
"COI.0321.1Prt.Up.1","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",28
"COI.0321.1Prt.Up.1","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium willei",81
"COI.0321.1Prt.Up.1","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",298
"COI.0321.1Prt.Up.1","Eutardigrada","Parachela","Ramazzottiidae","Ramazzottius","",26
"COI.0321.1Prt.Up.1","Gastropoda","Stylommatophora","Vertiginidae","Vertigo","",5
"COI.0321.1Prt.Up.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","",3
"COI.0321.1Prt.Up.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",43
"COI.0321.1Prt.Up.1","Insecta","Lepidoptera","Drepanidae","Habrosyne","Habrosyne scripta",3
"COI.0321.1Prt.Up.1","Insecta","Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps",7
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",15
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",33
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",21
"COI.0321.1Prt.Up.1","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",10
"COI.0321.1Prt.Up.1","Mammalia","Rodentia","Muridae","Rattus","Rattus rattus",8
"COI.0321.1Prt.Up.1","Monogononta","Ploima","Brachionidae","Kellicottia","",52
"COI.0321.1Prt.Up.1","Monogononta","Ploima","Brachionidae","Keratella","",296
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",24
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cambivora",71
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",42
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",40
"COI.0321.1Prt.Up.1","Oomycetes","Pythiales","Pythiaceae","Pythium","",5
"COI.0321.1Prt.Up.2","","","","","",39209
"COI.0321.1Prt.Up.2","","Himatismenida","Cochliopodiidae","Cochliopodium","",267
"COI.0321.1Prt.Up.2","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch",12
"COI.0321.1Prt.Up.2","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca",16
"COI.0321.1Prt.Up.2","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",161
"COI.0321.1Prt.Up.2","Bdelloidea","","","Rotaria","",797
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","",24
